
Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
--------------------------------------------------
|        1      |   8.0016e-01   |   7.8978e-01    |
|        2      |   3.3429e+00   |   2.9725e+00    |
|        3      |   1.9077e-02   |   8.1635e-02    |
|        4      |   3.5377e-03   |   5.9943e-02    |
|        5      |   2.7685e-03   |   4.8202e-02    |
|        6      |   2.4228e-03   |   3.9800e-02    |
|        7      |   2.0459e-03   |   3.3130e-02    |
|        8      |   1.7000e-03   |   2.7637e-02    |
|        9      |   1.4060e-03   |   2.3060e-02    |
|       10      |   1.1623e-03   |   1.9232e-02    |
|       11      |   9.6145e-04   |   1.6031e-02    |
|       12      |   7.9601e-04   |   1.3356e-02    |
|       13      |   6.5955e-04   |   1.1121e-02    |
|       14      |   5.4683e-04   |   9.2571e-03    |
|       15      |   4.5361e-04   |   7.7028e-03    |
|       16      |   3.7642e-04   |   6.4077e-03    |
|       17      |   3.1246e-04   |   5.3292e-03    |
|       18      |   2.5942e-04   |   4.4315e-03    |
|       19      |   2.1542e-04   |   3.6844e-03    |
|       20      |   1.7890e-04   |   3.0629e-03    |
|       21      |   1.4859e-04   |   2.5460e-03    |
|       22      |   1.2342e-04   |   2.1162e-03    |
|       23      |   1.0253e-04   |   1.7588e-03    |
|       24      |   8.5169e-05   |   1.4617e-03    |
|       25      |   7.0754e-05   |   1.2147e-03    |
|       26      |   5.8780e-05   |   1.0094e-03    |
|       27      |   4.8833e-05   |   8.3883e-04    |
|       28      |   4.0571e-05   |   6.9703e-04    |
|       29      |   3.3707e-05   |   5.7920e-04    |
|       30      |   2.8004e-05   |   4.8127e-04    |
|       31      |   2.3267e-05   |   3.9990e-04    |
|       32      |   1.9331e-05   |   3.3228e-04    |
|       33      |   1.6061e-05   |   2.7609e-04    |
|       34      |   1.3344e-05   |   2.2940e-04    |
|       35      |   1.1087e-05   |   1.9061e-04    |
|       36      |   9.2114e-06   |   1.5837e-04    |
|       37      |   7.6533e-06   |   1.3159e-04    |
|       38      |   6.3588e-06   |   1.0934e-04    |
|       39      |   5.2832e-06   |   9.0845e-05    |
|       40      |   4.3896e-06   |   7.5480e-05    |
|       41      |   3.6471e-06   |   6.2715e-05    |
|       42      |   3.0303e-06   |   5.2108e-05    |
|       43      |   2.5177e-06   |   4.3295e-05    |
|       44      |   2.0919e-06   |   3.5972e-05    |
|       45      |   1.7381e-06   |   2.9888e-05    |
|       46      |   1.4441e-06   |   2.4833e-05    |
|       47      |   1.1998e-06   |   2.0633e-05    |
|       48      |   9.9689e-07   |   1.7143e-05    |
|       49      |   8.2828e-07   |   1.4244e-05    |
|       50      |   6.8819e-07   |   1.1835e-05    |
|       51      |   5.7179e-07   |   9.8329e-06    |
|       52      |   4.7508e-07   |   8.1698e-06    |
|       53      |   3.9472e-07   |   6.7880e-06    |
|       54      |   3.2796e-07   |   5.6399e-06    |
|       55      |   2.7249e-07   |   4.6860e-06    |
|       56      |   2.2640e-07   |   3.8934e-06    |
|       57      |   1.8811e-07   |   3.2349e-06    |
|       58      |   1.5629e-07   |   2.6878e-06    |
|       59      |   1.2986e-07   |   2.2332e-06    |
|       60      |   1.0789e-07   |   1.8555e-06    |
|       61      |   8.9645e-08   |   1.5416e-06    |
|       62      |   7.4483e-08   |   1.2809e-06    |
|       63      |   6.1885e-08   |   1.0642e-06    |
|       64      |   5.1418e-08   |   8.8424e-07    |
---------------------------------------------------

Final k-eff: 1.107525

Exporting results... Done.


Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
--------------------------------------------------
|        1      |   0.0000e+00   |   3.3909e-01    |
|        2      |   0.0000e+00   |   8.8472e-01    |
|        3      |   0.0000e+00   |   3.3973e-01    |
|        4      |   0.0000e+00   |   2.2257e-01    |
|        5      |   0.0000e+00   |   1.5697e-01    |
|        6      |   0.0000e+00   |   1.1571e-01    |
|        7      |   0.0000e+00   |   8.7803e-02    |
|        8      |   0.0000e+00   |   6.7991e-02    |
|        9      |   0.0000e+00   |   5.3428e-02    |
|       10      |   0.0000e+00   |   4.2448e-02    |
|       11      |   0.0000e+00   |   3.4008e-02    |
|       12      |   0.0000e+00   |   2.7425e-02    |
|       13      |   0.0000e+00   |   2.2230e-02    |
|       14      |   0.0000e+00   |   1.8092e-02    |
|       15      |   0.0000e+00   |   1.4773e-02    |
|       16      |   0.0000e+00   |   1.2095e-02    |
|       17      |   0.0000e+00   |   9.9229e-03    |
|       18      |   0.0000e+00   |   8.1553e-03    |
|       19      |   0.0000e+00   |   6.7120e-03    |
|       20      |   0.0000e+00   |   5.5306e-03    |
|       21      |   0.0000e+00   |   4.5614e-03    |
|       22      |   0.0000e+00   |   3.7650e-03    |
|       23      |   0.0000e+00   |   3.1097e-03    |
|       24      |   0.0000e+00   |   2.5698e-03    |
|       25      |   0.0000e+00   |   2.1245e-03    |
|       26      |   0.0000e+00   |   1.7571e-03    |
|       27      |   0.0000e+00   |   1.4536e-03    |
|       28      |   0.0000e+00   |   1.2028e-03    |
|       29      |   0.0000e+00   |   9.9551e-04    |
|       30      |   0.0000e+00   |   8.2407e-04    |
|       31      |   0.0000e+00   |   6.8225e-04    |
|       32      |   0.0000e+00   |   5.6491e-04    |
|       33      |   0.0000e+00   |   4.6779e-04    |
|       34      |   0.0000e+00   |   3.8739e-04    |
|       35      |   0.0000e+00   |   3.2084e-04    |
|       36      |   0.0000e+00   |   2.6573e-04    |
|       37      |   0.0000e+00   |   2.2010e-04    |
|       38      |   0.0000e+00   |   1.8231e-04    |
|       39      |   0.0000e+00   |   1.5102e-04    |
|       40      |   0.0000e+00   |   1.2510e-04    |
|       41      |   0.0000e+00   |   1.0363e-04    |
|       42      |   0.0000e+00   |   8.5842e-05    |
|       43      |   0.0000e+00   |   7.1112e-05    |
|       44      |   0.0000e+00   |   5.8910e-05    |
|       45      |   0.0000e+00   |   4.8802e-05    |
|       46      |   0.0000e+00   |   4.0429e-05    |
|       47      |   0.0000e+00   |   3.3492e-05    |
|       48      |   0.0000e+00   |   2.7746e-05    |
|       49      |   0.0000e+00   |   2.2986e-05    |
|       50      |   0.0000e+00   |   1.9043e-05    |
|       51      |   0.0000e+00   |   1.5776e-05    |
|       52      |   0.0000e+00   |   1.3069e-05    |
|       53      |   0.0000e+00   |   1.0827e-05    |
|       54      |   0.0000e+00   |   8.9700e-06    |
|       55      |   0.0000e+00   |   7.4312e-06    |
|       56      |   0.0000e+00   |   6.1564e-06    |
|       57      |   0.0000e+00   |   5.1003e-06    |
|       58      |   0.0000e+00   |   4.2254e-06    |
|       59      |   0.0000e+00   |   3.5005e-06    |
|       60      |   0.0000e+00   |   2.9000e-06    |
|       61      |   0.0000e+00   |   2.4026e-06    |
|       62      |   0.0000e+00   |   1.9904e-06    |
|       63      |   0.0000e+00   |   1.6490e-06    |
|       64      |   0.0000e+00   |   1.3661e-06    |
|       65      |   0.0000e+00   |   1.1318e-06    |
|       66      |   0.0000e+00   |   9.3761e-07    |
---------------------------------------------------

Final k-eff: 1.107525

Exporting results... Done.

* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
* _____ ______   ________  ________  ___       ________  ________     *
*|\   _ \  _   \|\   ____\|\   ____\|\  \     |\   __  \|\   __  \    *
*\ \  \\\__\ \  \ \  \___|\ \  \___|\ \  \    \ \  \|\  \ \  \|\ /_   *
* \ \  \\|__| \  \ \  \    \ \_____  \ \  \    \ \   __  \ \   __  \  *
*  \ \  \    \ \  \ \  \____\|____|\  \ \  \____\ \  \ \  \ \  \|\  \ *
*   \ \__\    \ \__\ \_______\____\_\  \ \_______\ \__\ \__\ \_______\*
*    \|__|     \|__|\|_______|\_________\|_______|\|__|\|__|\|_______|*
*                            \|_________|                             *
*                                                                     *
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *

