
Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
--------------------------------------------------
|        1      |   3.1860e-01   |   3.2358e-01    |
|        2      |   2.7966e-01   |   2.8347e-01    |
|        3      |   8.1932e-02   |   9.1526e-02    |
|        4      |   2.6742e-02   |   4.2597e-02    |
|        5      |   9.8418e-03   |   2.9806e-02    |
|        6      |   4.3587e-03   |   2.5170e-02    |
|        7      |   2.4360e-03   |   2.2492e-02    |
|        8      |   1.6685e-03   |   2.0519e-02    |
|        9      |   1.2995e-03   |   1.8910e-02    |
|       10      |   1.0827e-03   |   1.7532e-02    |
|       11      |   9.3369e-04   |   1.6318e-02    |
|       12      |   8.2077e-04   |   1.5229e-02    |
|       13      |   7.3026e-04   |   1.4241e-02    |
|       14      |   6.5530e-04   |   1.3338e-02    |
|       15      |   5.9187e-04   |   1.2507e-02    |
|       16      |   5.3735e-04   |   1.1739e-02    |
|       17      |   4.8992e-04   |   1.1029e-02    |
|       18      |   4.4825e-04   |   1.0369e-02    |
|       19      |   4.1133e-04   |   9.7559e-03    |
|       20      |   3.7839e-04   |   9.1853e-03    |
|       21      |   3.4883e-04   |   8.6538e-03    |
|       22      |   3.2217e-04   |   8.1583e-03    |
|       23      |   2.9802e-04   |   7.6962e-03    |
|       24      |   2.7605e-04   |   7.2650e-03    |
|       25      |   2.5602e-04   |   6.8624e-03    |
|       26      |   2.3769e-04   |   6.4863e-03    |
|       27      |   2.2089e-04   |   6.1348e-03    |
|       28      |   2.0545e-04   |   5.8061e-03    |
|       29      |   1.9124e-04   |   5.4986e-03    |
|       30      |   1.7814e-04   |   5.2108e-03    |
|       31      |   1.6605e-04   |   4.9411e-03    |
|       32      |   1.5487e-04   |   4.6884e-03    |
|       33      |   1.4453e-04   |   4.4514e-03    |
|       34      |   1.3495e-04   |   4.2290e-03    |
|       35      |   1.2607e-04   |   4.0201e-03    |
|       36      |   1.1784e-04   |   3.8237e-03    |
|       37      |   1.1019e-04   |   3.6390e-03    |
|       38      |   1.0309e-04   |   3.4652e-03    |
|       39      |   9.6496e-05   |   3.3014e-03    |
|       40      |   9.0360e-05   |   3.1470e-03    |
|       41      |   8.4652e-05   |   3.0012e-03    |
|       42      |   7.9339e-05   |   2.8636e-03    |
|       43      |   7.4392e-05   |   2.7336e-03    |
|       44      |   6.9783e-05   |   2.6106e-03    |
|       45      |   6.5488e-05   |   2.4941e-03    |
|       46      |   6.1484e-05   |   2.3838e-03    |
|       47      |   5.7749e-05   |   2.2793e-03    |
|       48      |   5.4264e-05   |   2.1801e-03    |
|       49      |   5.1011e-05   |   2.0859e-03    |
|       50      |   4.7974e-05   |   1.9964e-03    |
|       51      |   4.5137e-05   |   1.9113e-03    |
